Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,0.23,-0.09,-0.22,-0.09,0.02,0.09,-0.09,-0.08,0,0.05,-0.13,-0.17
1949,0.01,-0.29,-0.1,-0.25,-0.16,-0.23,-0.06,-0.12,-0.05,0.02,-0.07,-0.1
1950,-0.23,-0.28,-0.04,-0.22,-0.24,-0.1,-0.06,-0.33,-0.14,-0.21,-0.34,-0.21
1951,-0.44,-0.48,-0.19,-0.08,0,-0.16,-0.15,0.06,-0.04,0.04,0.01,0.15
1952,0.09,0.11,-0.15,-0.05,-0.12,-0.08,0.08,0.13,0.13,-0.03,-0.19,-0.04
1953,0.06,0.06,0.15,0.15,0.04,0.01,-0.07,0.11,0.09,0.08,0.05,0.19
1954,-0.25,-0.04,-0.08,-0.12,-0.18,-0.2,-0.25,-0.22,-0.17,0.06,0.21,-0.08
1955,0.24,-0.06,-0.35,-0.18,-0.17,-0.22,-0.12,0.15,-0.08,0.01,-0.27,-0.29
1956,-0.2,-0.31,-0.28,-0.24,-0.27,-0.07,-0.07,-0.34,-0.13,-0.22,-0.21,-0.17
1957,-0.1,-0.02,-0.04,0.05,0.04,0.17,-0.05,0.19,0.14,0.03,0.21,0.22
1958,0.45,0.26,0.16,0.09,0.14,-0.21,0.07,-0.11,-0.09,0.1,0.11,-0.06
1959,0.06,0.08,0.23,0.24,-0.02,0.1,0.05,0,-0.17,-0.07,-0.07,0.1
1960,0.06,0.24,-0.5,-0.25,-0.15,-0.05,-0.13,0.06,0.08,0.11,-0.08,0.19
1961,0.09,0.2,0.02,0.15,0.2,0.18,0.07,0.08,0.22,0.11,0.09,-0.16
1962,0.04,0.19,0.1,0.07,-0.11,0.05,-0.1,-0.05,0.02,0.05,0.11,0
1963,0.01,0.22,-0.22,-0.21,-0.13,0.06,0.05,0.17,0.22,0.12,0.08,-0.06
1964,-0.06,-0.11,-0.23,-0.36,-0.33,-0.1,-0.03,-0.3,-0.38,-0.35,-0.2,-0.33
1965,-0.05,-0.16,-0.11,-0.24,-0.08,-0.09,-0.25,-0.07,-0.23,-0.09,-0.08,-0.18
1966,-0.21,-0.05,0.15,-0.07,-0.1,-0.02,0.07,-0.11,-0.04,-0.27,0,-0.06
1967,-0.07,-0.27,0.02,-0.09,0.16,-0.09,0.07,0.04,0.01,0.13,0.03,-0.01
1968,-0.23,-0.14,0.33,-0.1,-0.19,-0.15,-0.15,-0.07,-0.28,0.06,-0.09,-0.24
1969,-0.14,-0.3,-0.07,0.11,0.18,0.06,-0.06,-0.07,0.03,0.04,0.08,0.32
1970,0.06,0.28,0.09,0.07,-0.06,0.11,0.16,-0.11,0.18,0.08,0.03,-0.1
1971,-0.02,-0.08,-0.19,-0.05,-0.09,-0.19,-0.06,0.06,0.03,0.02,-0.16,-0.07
1972,-0.31,-0.32,-0.07,-0.05,-0.02,0.06,0.06,0.2,0.06,-0.06,-0.09,0.12
1973,0.26,0.33,0.36,0.35,0.3,0.28,0.23,0.06,0.08,0.12,0.07,-0.02
